"route_id","agency_id","route_short_name","route_long_name","route_type"
"P2P_ORTMKT_1","ROBINSONS","P2P Bus Ortigas to Makati","Robinson's Galleria (Ortigas) to Glorietta 3 (Makati)","3"
"P2P_NEDMKT_1","FROEHLICH","P2P Bus North EDSA to Makati","Trinoma (North EDSA) to Glorietta 5 (Makati)","3"
"P2P_NEDORT_1","FROEHLICH","P2P Bus North EDSA to Ortigas","SM North EDSA (North EDSA) to SM Megamall (Ortigas)","3"
"P2P_ALAMKT_1","RRCG","P2P Bus Alabang to Makati","Alabang Town Center (Alabang) to Greenbelt 1 (Makati)","3"
"P2P_ALAMKT_2","RRCG","P2P Bus Alabang to Makati","Ayala South Park (Alabang) to Greenbelt 5 (Makati)","3"
"P2P_ALAFRT_1","ROBINSONS","P2P Bus Alabang Town Center to Market Market","Alabang Town Center to Market Market","3"
"P2P_FRVMKT_1","LINGKODPINOY","P2P Bus Fairview to Makati","Robinson's Novaliches Car Park 2 (Fairview) to Glorietta 3 (Makati)","3"
"P2P_BCRALA_1","METROEXPRESS","P2P Bus Vista Mall - Starmall Alabang","Vista Mall Daang Hari, Bacoor - Starmall Alabang","3"
"P2P_DASALA_1","METROEXPRESS","P2P Central Mall Dasmariñas - Starmall Alabang","Central Mall Dasmariñas - Starmall Alabang","3"
"P2P_NVLMKT_1","TASTRANS","P2P Solenad Nuvali - Glorietta","Solenad Nuvali - Glorietta","3"
"P2P_WEEKEND","FROEHLICH","P2P EDSA Weekend Loop","Glorietta 5 to SM Megamall to Trinoma to SM North","3"
